时间, NPU_ID, Aicore使用率(%), HBM使用率(%)
2025-10-17 09:44:54, 0, 0, 95
2025-10-17 09:44:54, 1, 0, 95
2025-10-17 09:44:54, 2, 0, 95
2025-10-17 09:44:54, 3, 0, 95
2025-10-17 09:44:54, 4, 0, 83
2025-10-17 09:44:54, 5, 0, 83
2025-10-17 09:44:54, 6, 0, 83
2025-10-17 09:44:54, 7, 0, 83
2025-10-17 09:44:59, 0, 0, 95
2025-10-17 09:44:59, 1, 21, 95
2025-10-17 09:44:59, 2, 88, 95
2025-10-17 09:44:59, 3, 25, 95
2025-10-17 09:44:59, 4, 0, 83
2025-10-17 09:44:59, 5, 0, 83
2025-10-17 09:44:59, 6, 0, 83
2025-10-17 09:44:59, 7, 0, 83
2025-10-17 09:45:05, 0, 90, 95
2025-10-17 09:45:05, 1, 88, 95
2025-10-17 09:45:05, 2, 89, 95
2025-10-17 09:45:05, 3, 87, 95
2025-10-17 09:45:05, 4, 0, 83
2025-10-17 09:45:05, 5, 18, 83
2025-10-17 09:45:05, 6, 88, 83
2025-10-17 09:45:05, 7, 0, 83
2025-10-17 09:45:11, 0, 0, 95
2025-10-17 09:45:11, 1, 87, 95
2025-10-17 09:45:11, 2, 20, 95
2025-10-17 09:45:11, 3, 22, 95
2025-10-17 09:45:11, 4, 0, 83
2025-10-17 09:45:11, 5, 0, 83
2025-10-17 09:45:11, 6, 0, 83
2025-10-17 09:45:11, 7, 0, 83
2025-10-17 09:45:16, 0, 93, 95
2025-10-17 09:45:16, 1, 93, 95
2025-10-17 09:45:16, 2, 89, 95
2025-10-17 09:45:16, 3, 88, 95
2025-10-17 09:45:16, 4, 0, 83
2025-10-17 09:45:16, 5, 0, 83
2025-10-17 09:45:16, 6, 0, 83
2025-10-17 09:45:16, 7, 0, 83
2025-10-17 09:45:22, 0, 88, 95
2025-10-17 09:45:22, 1, 88, 95
2025-10-17 09:45:22, 2, 87, 95
2025-10-17 09:45:22, 3, 85, 95
2025-10-17 09:45:22, 4, 0, 83
2025-10-17 09:45:22, 5, 0, 83
2025-10-17 09:45:22, 6, 0, 83
2025-10-17 09:45:22, 7, 0, 83
2025-10-17 09:45:27, 0, 55, 95
2025-10-17 09:45:27, 1, 62, 95
2025-10-17 09:45:27, 2, 88, 95
2025-10-17 09:45:27, 3, 63, 95
2025-10-17 09:45:27, 4, 0, 83
2025-10-17 09:45:27, 5, 0, 83
2025-10-17 09:45:27, 6, 0, 83
2025-10-17 09:45:27, 7, 0, 83
2025-10-17 09:45:33, 0, 63, 95
2025-10-17 09:45:33, 1, 88, 95
2025-10-17 09:45:33, 2, 88, 95
2025-10-17 09:45:33, 3, 59, 95
2025-10-17 09:45:33, 4, 0, 83
2025-10-17 09:45:33, 5, 0, 83
2025-10-17 09:45:33, 6, 0, 83
2025-10-17 09:45:33, 7, 0, 83
2025-10-17 09:45:38, 0, 52, 95
2025-10-17 09:45:38, 1, 63, 95
2025-10-17 09:45:38, 2, 74, 95
2025-10-17 09:45:38, 3, 53, 95
2025-10-17 09:45:38, 4, 0, 83
2025-10-17 09:45:38, 5, 0, 83
2025-10-17 09:45:38, 6, 0, 83
2025-10-17 09:45:38, 7, 0, 83
2025-10-17 09:45:44, 0, 86, 95
2025-10-17 09:45:44, 1, 87, 95
2025-10-17 09:45:44, 2, 63, 95
2025-10-17 09:45:44, 3, 53, 95
2025-10-17 09:45:44, 4, 0, 83
2025-10-17 09:45:44, 5, 0, 83
2025-10-17 09:45:44, 6, 0, 83
2025-10-17 09:45:44, 7, 0, 83
2025-10-17 09:45:50, 0, 75, 95
2025-10-17 09:45:50, 1, 29, 95
2025-10-17 09:45:50, 2, 88, 95
2025-10-17 09:45:50, 3, 60, 95
2025-10-17 09:45:50, 4, 0, 83
2025-10-17 09:45:50, 5, 0, 83
2025-10-17 09:45:50, 6, 0, 83
2025-10-17 09:45:50, 7, 0, 83
2025-10-17 09:45:56, 0, 87, 95
2025-10-17 09:45:56, 1, 87, 95
2025-10-17 09:45:56, 2, 87, 95
2025-10-17 09:45:56, 3, 59, 95
2025-10-17 09:45:56, 4, 0, 83
2025-10-17 09:45:56, 5, 0, 83
2025-10-17 09:45:56, 6, 0, 83
2025-10-17 09:45:56, 7, 0, 83
2025-10-17 09:46:01, 0, 71, 95
2025-10-17 09:46:01, 1, 63, 95
2025-10-17 09:46:01, 2, 88, 95
2025-10-17 09:46:01, 3, 29, 95
2025-10-17 09:46:01, 4, 0, 83
2025-10-17 09:46:01, 5, 0, 83
2025-10-17 09:46:01, 6, 0, 83
2025-10-17 09:46:01, 7, 0, 83
2025-10-17 09:46:07, 0, 45, 95
2025-10-17 09:46:07, 1, 85, 95
2025-10-17 09:46:07, 2, 51, 95
2025-10-17 09:46:07, 3, 55, 95
2025-10-17 09:46:07, 4, 59, 83
2025-10-17 09:46:07, 5, 0, 83
2025-10-17 09:46:07, 6, 0, 83
2025-10-17 09:46:07, 7, 0, 83
2025-10-17 09:46:12, 0, 86, 95
2025-10-17 09:46:12, 1, 62, 95
2025-10-17 09:46:12, 2, 88, 95
2025-10-17 09:46:12, 3, 36, 95
2025-10-17 09:46:12, 4, 0, 83
2025-10-17 09:46:12, 5, 0, 83
2025-10-17 09:46:12, 6, 0, 83
2025-10-17 09:46:12, 7, 0, 83
2025-10-17 09:46:18, 0, 61, 95
2025-10-17 09:46:18, 1, 74, 95
2025-10-17 09:46:18, 2, 24, 95
2025-10-17 09:46:18, 3, 51, 95
2025-10-17 09:46:18, 4, 0, 83
2025-10-17 09:46:18, 5, 0, 83
2025-10-17 09:46:18, 6, 0, 83
2025-10-17 09:46:18, 7, 0, 83
2025-10-17 09:46:24, 0, 63, 95
2025-10-17 09:46:24, 1, 87, 95
2025-10-17 09:46:24, 2, 62, 95
2025-10-17 09:46:24, 3, 56, 95
2025-10-17 09:46:24, 4, 0, 83
2025-10-17 09:46:24, 5, 0, 83
2025-10-17 09:46:24, 6, 0, 83
2025-10-17 09:46:24, 7, 0, 83
2025-10-17 09:46:29, 0, 76, 95
2025-10-17 09:46:29, 1, 62, 95
2025-10-17 09:46:29, 2, 63, 95
2025-10-17 09:46:29, 3, 88, 95
2025-10-17 09:46:29, 4, 0, 83
2025-10-17 09:46:29, 5, 0, 83
2025-10-17 09:46:29, 6, 0, 83
2025-10-17 09:46:29, 7, 0, 83
