信息名称	字段
许可证编号	SQBH
事项名称	BUSINESS_NAME
申请人（单位全称）	PROPOSER
证件类型	ZJLX
证件号	ORGANIZATIONCODE
联系电话	PROPOSERPHONE
邮箱	EMAILADDRESS
联系地址	PROPOSERADDRESS
法人代表姓名	LEGALPEOPLE
法人代表身份证号	LEGALPEOPLESFZH
委托代理人	LINKMAN
委托代理人身份证号	AGENT_ID
委托人联系电话	LINKMANPHONE
委托代理人联系地址	LINKMANADDRESS
公路所在区域	GOVERNMENTCODE_GL
拟开工日期	STARTTIME
拟竣工日期	ENDTIME
施工单位	CONSTRUCTUNIT
统一社会信用代码或组织机构代码	ORGANIZATIONCODE_SG
施工单位联系人	CONSTRUCTMAN
施工单位联系人电话	CONSTRUCTPHONE
决定书信息	DECISIONINFORMATION
创建时间	CREATEDATE
工程名称	projectname
事项简称	sxic
文号	WH
公路名称	roadname
公路代码	roadcode
桩号起点	p_start
桩号终点	p_end
建设单位	JSDW
开工日期	kgrq
竣工日期	jgrq
